Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Manor College,"700 Fox Chase Rd, Jenkintown, Pennsylvania 19046-3399",www.manor.edu/,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate,Suburb: Large,Yes,599,599,24%,27%,Fall 2017,"$15,983 ",-,213774,329400
Marywood University,"2300 Adams Ave, Scranton, Pennsylvania 18509-1598",https://www.marywood.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,2850,1874,73%,16%,Fall 2017,"$24,712 ",-,213826,329600
Mercyhurst University,"501 E 38th St, Erie, Pennsylvania 16546",www.mercyhurst.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Small,Yes,2668,2292,59%,24%,Fall 2017,"$26,962 ",-,213987,329700
Messiah University,"One University Avenue, Mechanicsburg, Pennsylvania 17055",www.messiah.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,3344,2586,78%,17%,Fall 2017,"$29,882 ",-,213996,329800
Metro Beauty Academy,"4977 Medical Center Circle, Allentown, Pennsylvania 18106",https://www.metrobeautyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,174,174,83%,NA,2020-21,"$18,495 ","Cosmetology/Cosmetologist, General",457952,4158000
Mifflin County Academy of Science and Technology,"700 Pitt St, Lewistown, Pennsylvania 17044-1697",www.academynursing.com/,"< 2-year, Public",One but less than two years certificate,Town: Distant,No,38,38,88%,NA,2020-21,"$18,214 ",Licensed Practical/Vocational Nurse Training,418481,2158300
Miller-Motte College-Berks Technical Institute,"2205 Ridgewood Rd, Wyomissing, Pennsylvania 19610-1168",https://www.berks.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,452,452,52%,NA,Fall 2020,"$4,031 ","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",213534,2306828
Miller-Motte College-Berks Technical Institute-Allentown,"2200 N Irving St, Allentown, Pennsylvania 18109",https://www.berks.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,277,277,56%,NA,Fall 2020,NA,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",456579,2306813
Miller-Motte College-Berks Technical Institute-Lewisburg,"7495 Westbranch Hwy, Lewisburg, Pennsylvania 17837",https://www.berks.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Distant,No,129,129,52%,NA,Fall 2020,"$21,665 ",Medical/Clinical Assistant,438221,2306827
Millersville University of Pennsylvania,"1 South George Street, Lyle Hall, Millersville, Pennsylvania 17551-0302",www.millersville.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Large,Yes,6732,5724,54%,27%,Fall 2017,"$20,860 ",-,214041,332500
Misericordia University,"301 Lake St, Dallas, Pennsylvania 18612-1098",www.misericordia.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Large,Yes,2107,1670,69%,NA,Fall 2017,"$25,090 ",-,214069,324700
Missio Theological Seminary,"421 N. 7th Street, Suite 700, Philadelphia, Pennsylvania 19123",www.missio.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,City: Large,No,49,,NA,NA,Fall 2017,NA,-,211130,2323000
Montgomery County Community College,"340 Dekalb Pike, Blue Bell, Pennsylvania 19422-0796",www.mc3.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,8895,8895,23%,19%,Fall 2020,"$9,436 ",-,214111,445200
Moore College of Art and Design,"20th and the Parkway, Philadelphia, Pennsylvania 19103-1179",www.moore.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Large,Yes,399,390,63%,18%,Fall 2017,"$44,371 ",-,214148,330000
Moravian University,"1200 Main St, Bethlehem, Pennsylvania 18018-6650",www.moravian.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,2658,2006,71%,24%,Fall 2017,"$30,720 ",-,214157,330100
Mount Aloysius College,"7373 Admiral Peary Hwy, Cresson, Pennsylvania 16630-1999",www.mtaloy.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Town: Fringe,Yes,2967,2942,56%,20%,Fall 2017,"$20,570 ",-,214166,330200
Muhlenberg College,"2400 Chew Street, Allentown, Pennsylvania 18104",www.muhlenberg.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Midsize,Yes,1818,1788,80%,NA,Fall 2017,"$31,814 ",-,214175,330400
Neumann University,"One Neumann Drive, Aston, Pennsylvania 19014-1298",https://www.neumann.edu/,"4-year, Private not-for-profit",One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,2171,1695,46%,NA,Fall 2017,"$29,298 ",-,214272,398800
New Castle School of Trades,"4164 u.s. 422, Pulaski, Pennsylvania 16143-2522",https://www.ncstrades.edu/,"2-year, Private for-profit",,Rural: Fringe,,,,NA,NA,Fall 2023,NA,Construction/Heavy Equipment/Earthmoving Equipment Operation,21429001,778002
New Castle School of Trades,"4117 Pulaksi Road, New Castle, Pennsylvania 16101",https://www.ncstrades.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Fringe,No,623,623,74%,NA,Fall 2020,"$6,735 ",Electrician,214290,778000
Northampton County Area Community College,"3835 Green Pond Rd, Bethlehem, Pennsylvania 18020-7599",www.northampton.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,Yes,8695,8695,21%,26%,Fall 2020,"$10,117 ",-,214379,719100
Northampton County Area Community College-Monroe,"2411 Route 715, Tannersville, Pennsylvania 18372",www.northampton.edu/admissions/campus-locations/monroe-campus.htm,"2-year, Public",,Rural: Fringe,,,,NA,NA,Fall 2023,NA,-,21437901,719101
Northern Pennsylvania Regional College,"300 2nd Avenue, Suite 500, Warren, Pennsylvania 16365",https://regionalcollegepa.org/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Remote,No,100,100,38%,NA,Fall 2020,"$8,637 ",-,494959,
Northern Tier Career Center,"120 Career Center Lane, Towanda, Pennsylvania 18848-9731",https://www.ntccschool.org/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,37,37,55%,NA,2020-21,"$16,614 ",Licensed Practical/Vocational Nurse Training,418588,2353100
Orleans Technical College,"2770 Red Lion Road, Philadelphia, Pennsylvania 19114-1014",https://www.orleanstech.edu/,"2-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,245,245,87%,NA,2020-21,"$17,343 ",Electrician,214528,2183000
Peirce College,"1608 Walnut St., Suite 1900, Philadelphia, Pennsylvania 19103-5443",https://www.peirce.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Large,No,872,790,5%,5%,Fall 2017,"$12,905 ",-,214883,330900
Penn Commercial Business/Technical School,"242 Oak Spring Road, Washington, Pennsylvania 15301-6822",www.penncommercial.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,223,223,73%,NA,Fall 2020,"$14,409 ",-,214892,490200
Pennco Tech-Bristol,"3815 Otter St, Bristol, Pennsylvania 19007",https://www.penncotech.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate,Suburb: Large,Yes,603,603,78%,NA,Fall 2020,"$20,689 ",Electrician,214944,944900
