Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Western Pennsylvania Hospital School of Nursing,"4900 Friendship Ave, Pittsburgh, Pennsylvania 15224",https://www.ahn.org/health-care-professionals/education/nursing/schools/west-penn-hospital,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,Yes,145,145,68%,NA,Fall 2020,"$15,916 ",-,216773,658300
Westminster College,"319 South Market  Street, New Wilmington, Pennsylvania 16172",www.westminster.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree,Rural: Distant,Yes,1203,1155,66%,NA,Fall 2017,"$21,089 ",-,216807,339200
Westminster Theological Seminary,"2960 W Church Rd, Glenside, Pennsylvania 19038",https://www.wts.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,1031,,NA,NA,Fall 2017,NA,-,216816,339300
Westmoreland County Community College,"145 Pavilion Lane, Youngwood, Pennsylvania 15697-1895",https://westmoreland.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,4275,4275,25%,20%,Fall 2020,"$5,111 ",-,216825,1017600
Widener University,"One University Place, Chester, Pennsylvania 19013-5792",https://www.widener.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,5610,2811,64%,29%,Fall 2017,"$30,720 ",-,216852,331300
Wilkes University,"84 West South Street, Wilkes-Barre, Pennsylvania 18766",https://www.wilkes.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,5198,1956,60%,27%,Fall 2017,"$28,508 ",-,216931,339400
Wilkes-Barre Area Career and Technical Center Practical Nursing,"350 Jumper Rd, Wilkes Barre, Pennsylvania 18705-0699",https://www.wbpracnsg.com/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,102,102,37%,NA,2020-21,"$17,387 ",Licensed Practical/Vocational Nurse Training,365383,2529800
Williamson College of the Trades,"106 South New Middletown Road, Media, Pennsylvania 19063-5299",https://www.williamson.edu/,"2-year, Private not-for-profit",Associate's degree,Suburb: Large,Yes,313,313,66%,NA,Fall 2020,"$1,421 ",-,216940,4123800
Wilson College,"1015 Philadelphia Ave, Chambersburg, Pennsylvania 17201-1285",www.wilson.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,City: Small,Yes,1694,1180,52%,26%,Fall 2017,"$21,567 ",-,217013,339600
Won Institute of Graduate Studies,"800 Jacksonville Rd, Warminster, Pennsylvania 18974",www.woninstitute.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,Suburb: Large,No,112,,NA,NA,Fall 2017,NA,-,442064,3949300
World A Cuts Barber Institute,"121 North George Street, York, Pennsylvania 17401-1105",https://www.worldacuts.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,30,30,NA,NA,2020-21,"$25,059 ",Barbering/Barber,481067,4167500
Yeshivath Beth Moshe,"930 Hickory St, Scranton, Pennsylvania 18505-2196",https://yeshivabethmoshe.com/,"4-year, primarily associate's, Private not-for-profit",Associate's degree|Bachelor's degree,City: Small,Yes,41,39,75%,25%,Fall 2017,"$8,354 ",-,217040,1313400
York College of Pennsylvania,"441 Country Club Rd, York, Pennsylvania 17403-3651",https://www.ycp.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Midsize,Yes,3720,3308,60%,22%,Fall 2017,"$21,036 ",-,217059,339900
York County School of Technology-Adult & Continuing Education,"2179 S Queen St, York, Pennsylvania 17402-4696",www.educationthatpays.com/,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Suburb: Midsize,No,288,288,89%,NA,2020-21,"$9,340 ","Practical Nursing, Vocational Nursing and Nursing Assistants, Other",418409,536500
YTI Career Institute-Altoona,"3200 Pleasant Boulevard, Suite A, Altoona, Pennsylvania 16601",www.yti.edu/,"2-year, Private for-profit",Associate's degree,Suburb: Small,No,112,112,95%,NA,Fall 2020,"$15,182 ",Respiratory Care Therapy/Therapist,375939,3081900
YTI Career Institute-York,"1405 Williams Road, York, Pennsylvania 17402",www.yti.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Midsize,No,497,497,41%,NA,Fall 2020,"$11,824 ",Veterinary/Animal Health Technology/Technician and Veterinary Assistant,217077,2127400
,* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.,,,,,,,,,,,,,,
,"** Net Price is Average Net Price for 2022-2023 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institutionâ€™s largest program.",,,,,,,,,,,,,,
,"NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.",,,,,,,,,,,,,,
